name,longitude (deg),latitude (deg),altitude (meters),minimum horizon (deg),status (1 for Online),target utilization,UHF frequency [Hz],UHF max frequency [Hz],VHF frequency [Hz],VHF max frequency [Hz]
KB9JHU,-86.305,39.236,280,5,1,100,430000000,470000000,135000000,148000000
Apomahon,23.739,38.048,119,20,1,100,430000000,470000000,135000000,148000000
W2BFJ,-71.538,42.744,67,4,1,0,430000000,440000000,135000000,148000000
SV1IYO/A,21.828,38.395,145,15,1,100,430000000,470000000,135000000,148000000
NB3T - VHF,-80.489,37.194,634,15,1,0,0,0,135000000,148000000
G7KSE VHF,-3.588,54.488,10,10,1,100,0,0,135000000,148000000
DL4PD,6.216148,50.749791,275,1,1,100,430000000,470000000,0,0
CGBSAT-VHF,6.379,52.834,10,20,1,0,0,0,135000000,148000000
CGBSAT-UHF,6.379,52.834,10,20,1,0,430000000,470000000,0,0
DB0RV,9.633,47.807,450,3,1,100,400000000,550000000,130000000,160000000
OZ7SAT,12.600354,55.632602,10,10,1,70,430000000,470000000,135000000,146000000
N5CNB-UHF,-96.53481,29.85469,100,3,1,0,430000000,440000000,0,0
OE9CPV - stoffl,9.900062,47.094166,1034,10,1,0,0,0,135000000,148000000
N5CNB-VHF,-96.53481,29.85469,100,5,1,0,0,0,135000000,148000000
Alfeld,9.865161,51.974275,154,9,1,100,0,0,135000000,148000000
M0EYT / 2E0NOG,-2.02,50.77,60,20,1,0,430000000,440000000,135000000,148000000
APN01,-83.4574,45.0523,182,20,1,0,0,0,135000000,160000000
sam210723 VHF/UHF,151.33,-33.62,10,15,1,0,430000000,470000000,135000000,148000000
Grove-UHF-01,-71.448,42.314,62,15,1,50,430000000,440000000,0,0
SV1RVP,23.771096,37.96542,215,0,1,0,430000000,470000000,135000000,148000000
Marcs,2.231068,48.64358,110,8,1,80,0,0,135000000,148000000
PA3RVG VHF,5.558,51.472,31,5,1,100,0,0,130000000,150000000
ok1phu-1,15.919,49.763,592,5,1,0,0,0,135000000,148000000
F6HDW,1.584,42.817,612,10,1,0,430000000,470000000,144000000,146000000
BG8DIV,104.113,30.716,535,10,1,0,430000000,470000000,144000000,146000000
Chabot Space and Science Center,-122.180725,37.818732,300,10,1,0,0,0,135000000,148000000
XTOPHE,2.17693,48.882767,50,10,1,0,430000000,470000000,135000000,148000000
CWVRPi3vhf,-81.687,38.353,270,15,1,0,0,0,135000000,148000000
RIYADH2,46.708,24.771,612,0,1,50,0,0,135000000,148000000
F6KKR,1.828597,48.63488,200,0,1,0,0,0,135000000,148000000
OM1LD,17.387,48.033,124,1,1,0,0,0,0,0
SOSA-OBSPE,18.341,48.63,200,30,1,0,430000000,470000000,0,0
Picosat Systems - UHF,115.759,-31.763,40,25,1,0,430000000,470000000,0,0
G7ODQ-pi,-1.825,50.741,50,10,1,50,0,0,135000000,152000000
DF3LZ,10.221032,53.451984,10,0,1,0,430000000,440000000,135000000,148000000
KO2F-VHF-1,-78.062523,38.555972,186,10,1,0,0,0,135000000,148000000
K3RLD UHF Lindenblad,-75.462,40.274,54,10,1,25,410000000,500000000,0,0
AAUSAT GND,9.986,57.014,20,0,1,0,430000000,470000000,0,0
CWVRPi3uhf,-81.687,38.353,270,15,1,0,430000000,470000000,0,0
Neterra Sofia Teleport,23.3692,42.6563,550,10,1,0,430000000,470000000,135000000,146000000
EA5BZ - Elche,-0.6711,38.2768,120,10,1,0,0,0,135000000,148000000
F5SNV,3.0969,46.9778,189,15,1,0,0,0,135000000,148000000
K3RLD VHF QFH,-75.462,40.274,60,10,1,25,0,0,110000000,200000000
Dolni Vlkys1,13.286,49.784,371,10,1,0,0,0,0,0
COSPAR 8049,-123.668,49.4348,40,0,1,0,0,0,136000000,138000000
VK5KJP-VHF,138.501,-34.87,10,10,1,0,0,0,144000000,146000000
CSPD-VA3TZA,-79.759273,43.229065,92,15,1,0,399900000,470000000,0,0
KK4YEL,-80.705,28.419,6,0,1,0,0,0,135000000,148000000
DL1SAA,9.193,48.934,293,20,1,0,0,0,135000000,148000000
G7KSE UHF,-3.588,54.488,10,10,1,100,430000000,470000000,0,0
CU2ZG,-25.5565093,37.7423198,80,0,1,0,430000000,470000000,135000000,148000000
VK5KJP-UHF,138.5017,-34.87,10,15,1,0,435000000,438000000,0,0
ON4LS,4.885,50.485,175,6,1,100,0,0,0,0
Black Mensa Ground Station,11.670682,48.267233,490,3,1,0,0,0,135000000,148000000
DS-1 (VHF),4.417,52.216,10,12,1,100,0,0,137000000,152000000
AstroHD,8.839,48.833,460,10,1,100,0,0,135000000,148000000
IZ7BOJ,16.421258,41.248025,30,0,1,0,430000000,470000000,0,0
LRG Ground Station,11.6581,48.0468,583,3,1,0,0,0,135000000,153000000
52HancockSt,-71.2279,42.4554,70,30,1,33,430000000,470000000,0,0
"Patras, GR Station",21.74345,38.22223,20,5,1,100,0,0,135000000,148000000
HA3BT-2.0,18.0417,46.7292,185,10,1,100,420000000,460000000,135000000,148000000
blabs-satnogs-nr1,-86.533863,39.146382,220,15,1,0,430000000,440000000,135000000,148000000
SatNOGS Ground Station - KD2NFC,-74.157,40.586,23,5,1,0,430000000,470000000,135000000,148000000
OZ1SEJ,12.3258,55.7853,30,10,1,50,0,0,135000000,148000000
PE0SAT-U,5.03,51.721,10,5,1,0,400000000,470000000,0,0
kc1fha,-71.545102,42.807023,73,25,1,52,430000000,470000000,135000000,148000000
Timisoara - VHF QHA,21.2125,45.7469444,80,10,1,0,0,0,135000000,148000000
EB1AO - VHF,-8.731,42.201,30,0,1,0,0,0,135000000,148000000
Saclay1,2.148761,48.728034,100,0,1,0,0,0,0,0
MW6DHN,-4.05784,53.19099,200,10,1,0,430000000,470000000,135000000,148000000
ON5FB,4.548,50.711,96,6,1,100,0,0,135000000,148000000
Universidad UTE,-78.493257,-0.183257,2850,10,1,50,432000000,439000000,0,0
ON4API,3.0923,50.931117,20,0,1,50,0,0,135000000,148000000
k7fle,-122.615,45.512,50,10,1,100,430000000,470000000,0,0
DParabole,2.387856,48.893995,50,30,1,20,0,0,0,0
W7KKE,-124.01,45.01,30,30,1,50,430000000,470000000,0,0
hm5,16.353256,48.192961,200,10,1,100,430000000,470000000,135000000,146000000
LU7DID,-58.387876,-34.804549,44,10,1,90,430000000,470000000,135000000,148000000
W2GRK - UHF,-74.339,40.641,29,10,1,75,435000000,438000000,0,0
HB9FMC Pascal Droux,7.144419,47.190185,680,15,1,0,430000000,470000000,135000000,148000000
lu1esy,-58.64452,-34.650915,30,10,1,0,0,0,135000000,146000000
CT1ETE,-8.2628,41.4518,334,10,1,0,0,0,0,0
VK2BYF-VHF,150.6,-34.85,30,10,1,10,0,0,135000000,148000000
HB9FMC Pascal Droux 2,7.046,46.9,440,7,1,0,0,0,0,0
Um Alaish 4,48.125,29.1042,20,10,1,20,430000000,450000000,135000000,148000000
SPUTNIX-exp-VHF/UHF-,42.207964,47.542643,45,5,1,0,430000000,440000000,135000000,148000000
AAUSAT OZ0HPM,9.73,56.78,9,9,1,0,430000000,440000000,0,0
KS1G,-77.375,38.9792,100,5,1,0,430000000,470000000,135000000,148000000
Amfortas,10.732,49.227,496,5,1,0,0,0,135000000,148000000
AAUSAT AUX,9.9864619,57.0140675,10,15,1,0,0,0,135000000,148000000
CalgaryVHF,-114.145,51.106,1000,24,1,100,0,0,144000000,146000000
ZL2MST,175.679,-40.938,125,0,1,100,430000000,470000000,135000000,148000000
"KB4NKO - Jonesboro, VA, US UHF",-78.983486,37.786568,250,10,1,100,430000000,440000000,0,0
Colossus,5.408,52.198,6,10,1,0,0,0,135000000,148000000
WQ5C,-98.1452,29.7527,209,0,1,0,430000000,470000000,135000000,148000000
CT7AFR,-8.82569,41.70158,46,5,1,0,0,0,135000000,148000000
PG-GS1,-3.486,55.887,100,25,1,55,430000000,440000000,0,0
Santa Cruz,-16.777,32.696,160,0,1,0,430000000,470000000,135000000,148000000
M0RSX,1.714,52.483,7,10,1,10,430000000,440000000,135000000,148000000
VK4XSS-70,151.23486,-23.87721,72,0,1,100,430000000,470000000,0,0
Gilberstoun Satellite Tracking Station,-3.096,55.941,60,30,1,50,0,0,135000000,138000000
"CA,USA-Fixed UHF",-117.087264,33.496254,310,10,1,0,430000000,440000000,0,0
VA7EEX - VHF,-123.41,49.356,50,15,1,100,0,0,135000000,148000000
VK2BYF-UHF,150.6,-34.85,30,10,1,10,430000000,440000000,0,0
VAUBAN-IEPER  ON7XX,2.898784,50.849058,30,10,1,0,430000000,470000000,135000000,148000000
UY0LL,35.9715,49.9675,180,10,1,70,435000000,438000000,0,0
W6MSU / CH. A,-121.361,38.054,8,8,1,75,430000000,470000000,0,0
KD5QZG,-92.05415,30.1790254,8,15,1,100,0,0,135000000,148000000
Harwell,-1.291,51.6,71,10,1,0,430000000,470000000,0,0
Dunchurch,-1.290348,52.342463,128,15,1,0,430000000,470000000,135000000,152000000
PF_DE_PL_TA1,8.693,48.886,300,3,1,100,0,0,135000000,148000000
S59MZ-UHF,14.386951,46.258282,460,0,1,2,430000000,470000000,0,0
PF_DE_PL_ UHF_CROSS_DIPOLE,8.693,48.886,300,15,1,100,430000000,470000000,0,0
Round Hill - VA,-77.769,39.13533,175,15,1,0,0,0,135000000,148000000
Gray Eagle,-85.929823,39.963495,850,25,1,100,0,0,0,0
NewUlm-UHF-2,-96.527375,29.854743,8,3,1,50,430000000,470000000,0,0
SM0TGU - VHF UHF,17.89,59.453,5,7,1,0,420000000,480000000,135000000,168000000
lutgarugt,-116.66465,31.868581,56,6,1,0,430000000,440000000,0,0
DS-2 (UHF),4.4174,52.2155,10,20,1,100,400000000,470000000,0,0
VE2WI - UHF,-73.464994,45.419841,15,16,1,99,430000000,470000000,0,0
HS3LIQ,102.107,14.975,15,20,1,90,0,0,135000000,148000000
