name;longitude (deg);latitude (deg);altitude (meters)
KB9JHU;-86.292;39.229;280.0
Apomahon;23.708;38.062;119.0
YFK;23.792;37.938;183.0
W2BFJ;-71.542;42.729;67.0
SV1IYO/A;21.792;38.396;145.0
NB3T - VHF;-80.458;37.188;634.0
G7KSE VHF;-3.625;54.479;10.0
DL4PD;6.208;50.729;275.0
Technikraum Lanzenhäusern;7.375;46.854;839.0
CGBSAT-VHF;6.375;52.854;10.0
CGBSAT-UHF;6.375;52.854;10.0
DB0RV;9.625;47.812;450.0
OZ7SAT;12.625;55.646;10.0
N5CNB-UHF;-96.542;29.854;100.0
OE9CPV - stoffl;9.875;47.104;1034.0
N5CNB-VHF;-96.542;29.854;100.0
Alfeld;9.875;51.979;154.0
M0EYT / 2E0NOG;-2.042;50.771;60.0
APN01;-83.458;45.062;182.0
sam210723 VHF/UHF;151.292;-33.604;10.0
Grove-UHF-01;-71.458;42.312;62.0
SV1RVP;23.792;37.979;215.0
Marcs;2.208;48.646;110.0
PA3RVG VHF;5.542;51.479;31.0
ok1phu-1;15.958;49.771;592.0
F6HDW;1.625;42.812;612.0
BG8DIV;104.125;30.729;535.0
Chabot Space and Science Center;-122.208;37.812;300.0
XTOPHE;2.208;48.896;50.0
CWVRPi3vhf;-81.708;38.354;270.0
RIYADH2;46.708;24.771;612.0
F6KKR;1.792;48.646;200.0
OM1LD;17.375;48.021;124.0
SOSA-OBSPE;18.375;48.646;200.0
Picosat Systems - UHF;115.792;-31.771;40.0
G7ODQ-pi;-1.792;50.729;50.0
DF3LZ;10.208;53.438;10.0
KO2F-VHF-1;-78.042;38.562;186.0
K3RLD UHF Lindenblad;-75.458;40.271;54.0
AAUSAT GND;9.958;57.021;20.0
CWVRPi3uhf;-81.708;38.354;270.0
Neterra Sofia Teleport;23.375;42.646;550.0
EA5BZ - Elche;-0.708;38.271;120.0
K3RLD VHF QFH;-75.458;40.271;60.0
Dolni Vlkys1;13.292;49.771;371.0
COSPAR 8049;-123.708;49.438;40.0
VK5KJP-VHF;138.542;-34.854;10.0
CSPD-VA3TZA;-79.792;43.229;92.0
KK4YEL;-80.708;28.438;6.0
DL1SAA;9.208;48.938;293.0
G7KSE UHF;-3.625;54.479;10.0
CU2ZG;-25.542;37.729;80.0
VK5KJP-UHF;138.542;-34.854;10.0
ON4LS;4.875;50.479;175.0
Black Mensa Ground Station;11.708;48.271;490.0
DS-1 (VHF);4.458;52.229;10.0
AstroHD;8.875;48.812;460.0
IZ7BOJ;16.458;41.229;30.0
LRG Ground Station;11.625;48.062;583.0
52HancockSt;-71.208;42.438;70.0
Patras, GR Station;21.708;38.229;20.0
HA3BT-2.0;18.042;46.729;185.0
blabs-satnogs-nr1;-86.542;39.146;220.0
SatNOGS Ground Station - KD2NFC;-74.125;40.604;23.0
OZ1SEJ;12.292;55.771;30.0
Leonidio;22.875;37.146;20.0
PE0SAT-U;5.042;51.729;10.0
kc1fha;-71.542;42.812;73.0
Timisoara - VHF QHA;21.208;45.729;80.0
EB1AO - VHF;-8.708;42.188;30.0
Saclay1;2.125;48.729;100.0
MW6DHN;-4.042;53.188;200.0
ON5FB;4.542;50.729;96.0
Universidad UTE;-78.458;-0.188;2850.0
ON4API;3.125;50.938;20.0
k7fle;-122.625;45.521;50.0
DParabole;2.375;48.896;50.0
W7KKE;-124.042;45.021;30.0
hm5;16.375;48.188;200.0
LU7DID;-58.375;-34.812;44.0
W2GRK - UHF;-74.375;40.646;29.0
HB9FMC Pascal Droux;7.125;47.188;680.0
lu1esy;-58.625;-34.646;30.0
CT1ETE;-8.292;41.438;334.0
VK2BYF-VHF;150.625;-34.854;30.0
HB9FMC Pascal Droux 2;7.042;46.896;440.0
Um Alaish 4;48.125;29.104;20.0
SPUTNIX-exp-VHF/UHF-;42.208;47.562;45.0
AAUSAT OZ0HPM;9.708;56.771;9.0
KS1G;-77.375;38.979;100.0
Amfortas;10.708;49.229;496.0
CalgaryVHF;-114.125;51.104;1000.0
ZL2MST;175.708;-40.938;125.0
KB4NKO - Jonesboro, VA, US UHF;-78.958;37.771;250.0
Colossus;5.375;52.188;6.0
WQ5C;-98.125;29.771;209.0
CT7AFR;-8.792;41.688;46.0
PG-GS1;-3.458;55.896;100.0
Santa Cruz;-16.792;32.688;160.0
M0RSX;1.708;52.479;7.0
VK4XSS-70;151.208;-23.896;72.0
VK4XSS-2;151.208;-23.896;72.0
Gilberstoun Satellite Tracking Station;-3.125;55.938;60.0
CA,USA-Fixed UHF;-117.125;33.479;310.0
VA7EEX - VHF;-123.375;49.354;50.0
VK2BYF-UHF;150.625;-34.854;30.0
VAUBAN-IEPER ON7XX;2.875;50.854;30.0
NZ-HMT-VHF;175.292;-37.812;41.0
UY0LL;35.958;49.979;180.0
W6MSU / CH. A;-121.375;38.062;8.0
KD5QZG;-92.042;30.188;8.0
Harwell;-1.292;51.604;71.0
Dunchurch;-1.292;52.354;128.0
PF_DE_PL_TA1;8.708;48.896;300.0
S59MZ-UHF;14.375;46.271;460.0
PF_DE_PL_ UHF_CROSS_DIPOLE;8.708;48.896;300.0
Round Hill - VA;-77.792;39.146;175.0
Gray Eagle;-85.958;39.979;850.0
NewUlm-UHF-2;-96.542;29.854;8.0
SM0TGU - VHF UHF;17.875;59.438;5.0
lutgarugt;-116.625;31.854;56.0
DS-2 (UHF);4.458;52.229;10.0
VE2WI - UHF;-73.458;45.438;15.0
HS3LIQ;102.125;14.979;15.0
Field Station Luxembourg VHF;6.125;49.688;245.0
OL7M;16.208;50.229;330.0
Nucleus;8.375;47.396;400.0
CERDECAM;4.458;50.854;100.0
IU3IOK;12.208;45.604;15.0
Homebrew Space Club @CamMakespace;0.125;52.188;14.0
GlastonburyUK-A;-2.708;51.146;100.0
SWLJN26;5.292;46.312;238.0
Archodiko-UHF;22.125;36.979;5.0
PF_DE_ADSB;8.708;48.896;300.0
TBC;-58.792;-34.479;25.0
LA4TSA;10.792;59.938;160.0
