,start,end,duration,timedelta,seconds
0,2024-01-02 12:01:58+00:00,2024-01-02 12:01:59+00:00,1.0,0 days 00:00:00,0.0
1,2024-01-02 12:02:58+00:00,2024-01-02 12:02:59+00:00,1.0,0 days 00:01:00,60.0
2,2024-01-02 12:03:57+00:00,2024-01-02 12:03:59+00:00,2.0,0 days 00:01:59,119.0
3,2024-01-02 12:04:57+00:00,2024-01-02 12:04:58+00:00,1.0,0 days 00:02:59,179.0
4,2024-01-02 12:05:56+00:00,2024-01-02 12:05:58+00:00,2.0,0 days 00:03:58,238.0
5,2024-01-02 12:06:56+00:00,2024-01-02 12:06:58+00:00,2.0,0 days 00:04:58,298.0
6,2024-01-02 12:07:56+00:00,2024-01-02 12:07:57+00:00,1.0,0 days 00:05:58,358.0
7,2024-01-02 12:08:55+00:00,2024-01-02 12:08:57+00:00,2.0,0 days 00:06:57,417.0
8,2024-01-02 12:09:49+00:00,2024-01-02 12:09:52+00:00,3.0,0 days 00:07:51,471.0
9,2024-01-02 12:09:55+00:00,2024-01-02 12:09:57+00:00,2.0,0 days 00:07:57,477.0
10,2024-01-02 12:10:50+00:00,2024-01-02 12:10:52+00:00,2.0,0 days 00:08:52,532.0
11,2024-01-02 12:10:55+00:00,2024-01-02 12:10:57+00:00,2.0,0 days 00:08:57,537.0
12,2024-01-02 12:11:51+00:00,2024-01-02 12:11:52+00:00,1.0,0 days 00:09:53,593.0
13,2024-01-02 12:11:54+00:00,2024-01-02 12:11:56+00:00,2.0,0 days 00:09:56,596.0
14,2024-01-02 12:12:54+00:00,2024-01-02 12:12:56+00:00,2.0,0 days 00:10:56,656.0
15,2024-01-02 12:13:54+00:00,2024-01-02 12:13:56+00:00,2.0,0 days 00:11:56,716.0
17,2024-01-02 12:38:11+00:00,2024-01-02 12:38:12+00:00,1.0,0 days 00:36:13,2173.0
19,2024-01-02 12:40:10+00:00,2024-01-02 12:40:11+00:00,1.0,0 days 00:38:12,2292.0
20,2024-01-02 12:41:10+00:00,2024-01-02 12:41:11+00:00,1.0,0 days 00:39:12,2352.0
