OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2023-03-26T21:56:53.770272,14.34218465,.0002011,86.4002,220.8516,105.8064,254.3354,0,U,41917,999,32432,.18454E-3,.537E-5,0
IRIDIUM 103,2017-003B,2023-03-27T02:40:01.524864,14.34223161,.000187,86.4005,220.6731,94.5172,265.6237,0,U,41918,999,32438,.24859E-3,.716E-5,0
IRIDIUM 109,2017-003C,2023-03-27T02:49:09.233472,14.34224370,.0002004,86.4006,220.7104,91.9446,268.1980,0,U,41919,999,32436,.24165E-3,.697E-5,0
IRIDIUM 102,2017-003D,2023-03-26T21:02:05.661024,14.34221326,.0002231,86.4002,220.7597,91.1507,268.9944,0,U,41920,999,32439,.13115E-3,.387E-5,0
IRIDIUM 105,2017-003E,2023-03-26T18:39:30.229344,14.34218404,.0002005,86.4052,189.2740,98.1734,261.9689,0,U,41921,999,32623,.27666E-3,.795E-5,0
IRIDIUM 104,2017-003F,2023-03-26T21:20:22.146144,14.34218168,.0001903,86.4006,220.7793,97.4611,262.6801,0,U,41922,999,32438,.24133E-3,.696E-5,0
IRIDIUM 114,2017-003G,2023-03-26T21:29:29.688000,14.34221508,.0002275,86.4006,220.7636,97.3369,262.8085,0,U,41923,999,32436,.24128E-3,.696E-5,0
IRIDIUM 108,2017-003H,2023-03-27T04:52:06.685824,14.34222448,.0002178,86.4045,189.0507,105.4359,254.7078,0,U,41924,999,32628,.25523E-3,.735E-5,0
IRIDIUM 112,2017-003J,2023-03-26T21:11:13.993440,14.34217192,.0002265,86.4003,220.6663,90.5137,269.6318,0,U,41925,999,32438,.34911E-3,.998E-5,0
IRIDIUM 111,2017-003K,2023-03-26T20:52:57.825408,14.34219224,.0001617,86.4007,220.7161,93.7821,266.3560,0,U,41926,999,32436,-.18765E-4,-.33E-6,0
IRIDIUM 113,2017-039A,2023-03-26T10:21:19.198080,14.34220194,.0002087,86.3916,94.7683,90.7137,269.4297,0,U,42803,999,30223,.60856E-4,.19E-5,0
IRIDIUM 123,2017-039B,2023-03-27T04:05:42.654048,14.34220619,.0002148,86.3947,125.9981,87.2760,272.8681,0,U,42804,999,30110,.1785E-3,.52E-5,0
IRIDIUM 120,2017-039C,2023-03-26T18:34:32.563200,14.34218979,.00021,86.3905,94.5603,90.3229,269.8208,0,U,42805,999,30227,.95259E-4,.287E-5,0
IRIDIUM 115,2017-039D,2023-03-27T02:50:24.306432,14.43277424,.0001801,86.4443,94.3735,72.8467,287.2931,0,U,42806,999,30434,.9636E-4,.344E-5,0
IRIDIUM 118,2017-039E,2023-03-26T20:29:02.788800,14.34216544,.000236,86.3945,126.1338,92.9719,267.1747,0,U,42807,999,30105,.11734E-3,.348E-5,0
IRIDIUM 117,2017-039F,2023-03-26T20:56:26.745792,14.34219138,.0002199,86.3948,126.0940,97.9470,262.1975,0,U,42808,999,30108,.17831E-3,.519E-5,0
IRIDIUM 126,2017-039G,2023-03-27T04:14:50.510400,14.34219492,.0002099,86.3948,125.9993,91.3443,268.7993,0,U,42809,999,30111,.42279E-4,.138E-5,0
IRIDIUM 124,2017-039H,2023-03-26T21:55:20.368416,14.43288621,.0002414,86.4472,62.8062,96.8214,263.3262,0,U,42810,999,30516,.26282E-3,.904E-5,0
IRIDIUM 128,2017-039J,2023-03-26T17:58:42.376512,14.34218535,.000186,86.4017,157.6809,96.6412,263.4995,0,U,42811,999,30107,-.25342E-4,-.51E-6,0
IRIDIUM 121,2017-039K,2023-03-26T20:19:54.784704,14.34217985,.0002215,86.3948,126.1574,90.3050,269.8400,0,U,42812,999,30093,.17783E-3,.518E-5,0
IRIDIUM 133,2017-061A,2023-03-27T04:47:10.416768,14.34219950,.000201,86.4018,157.5826,91.7191,268.4235,0,U,42955,999,28593,.18714E-3,.544E-5,0
IRIDIUM 100,2017-061B,2023-03-26T21:56:10.653216,14.34216930,.0002157,86.4014,157.6484,96.7276,263.4165,0,U,42956,999,28589,.74271E-4,.228E-5,0
IRIDIUM 122,2017-061C,2023-03-26T19:30:02.249856,14.34220839,.000202,86.4015,157.6878,96.2968,263.8458,0,U,42957,999,28588,.93209E-4,.281E-5,0
IRIDIUM 129,2017-061D,2023-03-26T18:26:06.760320,14.34221373,.0002115,86.4015,157.7607,93.7804,266.3634,0,U,42958,999,28589,.10224E-3,.306E-5,0
IRIDIUM 119,2017-061E,2023-03-26T19:20:54.377952,14.34221927,.0002013,86.4016,157.7346,92.2816,267.8610,0,U,42959,999,28591,.1961E-3,.569E-5,0
IRIDIUM 107,2017-061F,2023-03-27T04:10:37.896672,14.34223090,.0002124,86.4018,157.5952,95.2449,264.8989,0,U,42960,999,28598,.19576E-3,.568E-5,0
IRIDIUM 132,2017-061G,2023-03-26T21:37:55.369920,14.34219735,.0002101,86.4018,157.6963,105.0386,255.1042,0,U,42961,999,28593,.15152E-4,.62E-6,0
IRIDIUM 136,2017-061H,2023-03-27T05:05:27.098880,14.34217238,.0002134,86.4016,157.5681,89.5113,270.6327,0,U,42962,999,28599,.17776E-3,.518E-5,0
IRIDIUM 139,2017-061J,2023-03-26T17:31:17.665248,14.34223864,.0001974,86.4019,157.8126,96.5125,263.6296,0,U,42963,999,28593,.2062E-3,.597E-5,0
IRIDIUM 125,2017-061K,2023-03-27T04:56:18.693888,14.34222248,.0001948,86.4020,157.6535,94.0208,266.1211,0,U,42964,999,28601,.19354E-3,.562E-5,0
IRIDIUM 135,2017-083A,2023-03-27T02:38:34.873440,14.34219665,.0002458,86.3910,94.3981,93.7514,266.3963,0,U,43070,999,27529,.8372E-4,.254E-5,0
IRIDIUM 138,2017-083B,2023-03-26T22:13:44.893056,14.34219373,.0002105,86.3899,94.2481,87.2308,272.9129,0,U,43071,999,27525,.88518E-4,.268E-5,0
IRIDIUM 116,2017-083C,2023-03-27T02:29:28.786560,14.34219919,.0002425,86.3910,94.4006,87.6959,272.4514,0,U,43072,999,27531,.88774E-4,.268E-5,0
IRIDIUM 130,2017-083D,2023-03-27T01:43:46.704576,14.34220153,.0002193,86.3918,94.5747,85.6257,274.5189,0,U,43073,999,27525,.91438E-4,.276E-5,0
IRIDIUM 151,2017-083E,2023-03-26T18:25:24.420864,14.34218526,.0002422,86.3911,94.5723,85.5236,274.6236,0,U,43074,999,27523,.90203E-4,.272E-5,0
IRIDIUM 134,2017-083F,2023-03-26T22:41:07.570464,14.34221895,.0002182,86.3913,94.4896,95.0777,265.0667,0,U,43075,999,27522,.90281E-4,.273E-5,0
IRIDIUM 137,2017-083G,2023-03-26T22:59:22.896960,14.34219352,.0002459,86.3913,94.5545,87.9755,272.1722,0,U,43076,999,27529,.89151E-4,.269E-5,0
IRIDIUM 141,2017-083H,2023-03-26T22:50:15.015552,14.34217426,.0002197,86.3908,94.4536,86.2032,273.9415,0,U,43077,999,27529,.91398E-4,.276E-5,0
IRIDIUM 153,2017-083J,2023-03-27T04:23:14.608608,14.34219499,.0002034,86.3948,62.7700,83.5824,276.5603,0,U,43078,999,27643,.18147E-3,.528E-5,0
IRIDIUM 131,2017-083K,2023-03-26T22:31:58.966752,14.34217477,.0002146,86.3915,94.5664,87.8257,272.3185,0,U,43079,999,27522,.1125E-3,.335E-5,0
IRIDIUM 144,2018-030A,2023-03-26T21:50:30.762528,14.34219187,.0002227,86.3945,62.8447,92.9373,267.2078,0,U,43249,999,26125,.26757E-3,.769E-5,0
IRIDIUM 149,2018-030B,2023-03-26T21:59:38.954112,14.34213942,.0002265,86.3945,62.8224,97.2783,262.8670,0,U,43250,999,26127,.71946E-4,.221E-5,0
IRIDIUM 157,2018-030C,2023-03-26T22:27:02.535264,14.34222814,.0002326,86.3946,62.8411,81.6360,278.5099,0,U,43251,999,26125,.23221E-3,.67E-5,0
IRIDIUM 140,2018-030D,2023-03-27T00:34:55.017696,14.34221664,.0002157,86.3947,62.8188,95.9309,264.2133,0,U,43252,999,26132,.24972E-3,.719E-5,0
IRIDIUM 145,2018-030E,2023-03-26T22:36:10.754496,14.34213392,.0002536,86.3948,62.8286,95.6118,264.5367,0,U,43253,999,26124,.77413E-4,.237E-5,0
IRIDIUM 146,2018-030F,2023-03-27T04:50:38.799744,14.34220135,.0002457,86.3946,62.7354,91.6251,268.5226,0,U,43254,999,26129,.21881E-3,.633E-5,0
IRIDIUM 148,2018-030G,2023-03-26T23:03:35.193600,14.34221067,.0002473,86.3947,62.8623,85.6950,274.4528,0,U,43255,999,26129,.24641E-3,.71E-5,0
IRIDIUM 142,2018-030H,2023-03-26T22:17:55.040928,14.34221349,.0002307,86.3944,62.8072,87.9311,272.2149,0,U,43256,999,26125,.23934E-3,.69E-5,0
IRIDIUM 150,2018-030J,2023-03-26T21:32:14.688672,14.34216568,.0002156,86.3945,62.8987,93.2135,266.9307,0,U,43257,999,26127,.10112E-3,.303E-5,0
IRIDIUM 143,2018-030K,2023-03-26T22:45:19.099008,14.34215506,.000234,86.3949,62.9229,92.2999,267.8465,0,U,43258,999,26121,.49336E-4,.158E-5,0
IRIDIUM 161,2018-047C,2023-03-27T02:23:07.644192,14.43284371,.0002008,86.4526,220.7532,100.6162,259.5265,0,U,43478,999,25521,.28463E-3,.978E-5,0
IRIDIUM 152,2018-047D,2023-03-27T03:07:25.268448,14.34223965,.0002371,86.4000,220.6030,95.0266,265.1201,0,U,43479,999,25364,.23727E-3,.684E-5,0
IRIDIUM 147,2018-047E,2023-03-26T22:15:09.831168,14.34214012,.000208,86.4002,220.6725,88.9040,271.2394,0,U,43480,999,25360,.18693E-3,.543E-5,0
