,start,end,duration,timedelta,seconds
0,2024-01-02 18:20:04+00:00,2024-01-02 18:20:25+00:00,21.0,0 days 00:00:00,0.0
1,2024-01-02 18:21:05+00:00,2024-01-02 18:21:25+00:00,20.0,0 days 00:01:01,61.0
2,2024-01-02 18:22:06+00:00,2024-01-02 18:22:25+00:00,19.0,0 days 00:02:02,122.0
3,2024-01-02 18:23:07+00:00,2024-01-02 18:23:25+00:00,18.0,0 days 00:03:03,183.0
4,2024-01-02 18:24:08+00:00,2024-01-02 18:24:24+00:00,16.0,0 days 00:04:04,244.0
5,2024-01-02 18:25:09+00:00,2024-01-02 18:25:24+00:00,15.0,0 days 00:05:05,305.0
6,2024-01-02 18:26:11+00:00,2024-01-02 18:26:24+00:00,13.0,0 days 00:06:07,367.0
7,2024-01-02 18:27:13+00:00,2024-01-02 18:27:23+00:00,10.0,0 days 00:07:09,429.0
8,2024-01-02 18:28:15+00:00,2024-01-02 18:28:22+00:00,7.0,0 days 00:08:11,491.0
9,2024-01-03 00:39:05+00:00,2024-01-03 00:39:24+00:00,19.0,0 days 06:19:01,22741.0
10,2024-01-03 00:40:05+00:00,2024-01-03 00:40:24+00:00,19.0,0 days 06:20:01,22801.0
11,2024-01-03 00:41:06+00:00,2024-01-03 00:41:24+00:00,18.0,0 days 06:21:02,22862.0
12,2024-01-03 00:42:08+00:00,2024-01-03 00:42:23+00:00,15.0,0 days 06:22:04,22924.0
13,2024-01-03 00:43:09+00:00,2024-01-03 00:43:23+00:00,14.0,0 days 06:23:05,22985.0
14,2024-01-03 00:44:11+00:00,2024-01-03 00:44:22+00:00,11.0,0 days 06:24:07,23047.0
15,2024-01-03 00:45:13+00:00,2024-01-03 00:45:21+00:00,8.0,0 days 06:25:09,23109.0
16,2024-01-03 00:46:17+00:00,2024-01-03 00:46:18+00:00,1.0,0 days 06:26:13,23173.0
17,2024-01-03 07:01:08+00:00,2024-01-03 07:01:29+00:00,21.0,0 days 12:41:04,45664.0
18,2024-01-03 07:02:03+00:00,2024-01-03 07:02:29+00:00,26.0,0 days 12:41:59,45719.0
19,2024-01-03 07:03:04+00:00,2024-01-03 07:03:29+00:00,25.0,0 days 12:43:00,45780.0
