,start,end,duration,timedelta,seconds
0,2024-01-02 12:17:46+00:00,2024-01-02 12:17:51+00:00,5.0,0 days 00:00:00,0.0
1,2024-01-02 12:18:23+00:00,2024-01-02 12:18:51+00:00,28.0,0 days 00:00:37,37.0
2,2024-01-02 12:19:23+00:00,2024-01-02 12:19:52+00:00,29.0,0 days 00:01:37,97.0
3,2024-01-02 12:20:24+00:00,2024-01-02 12:20:52+00:00,28.0,0 days 00:02:38,158.0
4,2024-01-02 12:21:24+00:00,2024-01-02 12:21:52+00:00,28.0,0 days 00:03:38,218.0
5,2024-01-02 12:22:24+00:00,2024-01-02 12:22:52+00:00,28.0,0 days 00:04:38,278.0
6,2024-01-02 12:23:24+00:00,2024-01-02 12:23:52+00:00,28.0,0 days 00:05:38,338.0
7,2024-01-02 12:24:24+00:00,2024-01-02 12:24:53+00:00,29.0,0 days 00:06:38,398.0
8,2024-01-02 12:25:24+00:00,2024-01-02 12:25:53+00:00,29.0,0 days 00:07:38,458.0
9,2024-01-02 12:26:24+00:00,2024-01-02 12:26:53+00:00,29.0,0 days 00:08:38,518.0
10,2024-01-02 12:27:24+00:00,2024-01-02 12:27:47+00:00,23.0,0 days 00:09:38,578.0
11,2024-01-02 12:33:11+00:00,2024-01-02 12:33:29+00:00,18.0,0 days 00:15:25,925.0
12,2024-01-02 12:34:05+00:00,2024-01-02 12:34:30+00:00,25.0,0 days 00:16:19,979.0
13,2024-01-02 12:35:05+00:00,2024-01-02 12:35:30+00:00,25.0,0 days 00:17:19,1039.0
14,2024-01-02 12:36:05+00:00,2024-01-02 12:36:31+00:00,26.0,0 days 00:18:19,1099.0
15,2024-01-02 12:37:06+00:00,2024-01-02 12:37:31+00:00,25.0,0 days 00:19:20,1160.0
16,2024-01-02 12:38:06+00:00,2024-01-02 12:38:32+00:00,26.0,0 days 00:20:20,1220.0
17,2024-01-02 12:39:06+00:00,2024-01-02 12:39:32+00:00,26.0,0 days 00:21:20,1280.0
18,2024-01-02 12:40:06+00:00,2024-01-02 12:40:33+00:00,27.0,0 days 00:22:20,1340.0
19,2024-01-02 12:52:40+00:00,2024-01-02 12:53:02+00:00,22.0,0 days 00:34:54,2094.0
20,2024-01-02 12:53:37+00:00,2024-01-02 12:54:02+00:00,25.0,0 days 00:35:51,2151.0
21,2024-01-02 12:54:38+00:00,2024-01-02 12:55:03+00:00,25.0,0 days 00:36:52,2212.0
22,2024-01-02 12:55:39+00:00,2024-01-02 12:56:03+00:00,24.0,0 days 00:37:53,2273.0
23,2024-01-02 12:56:39+00:00,2024-01-02 12:57:03+00:00,24.0,0 days 00:38:53,2333.0
24,2024-01-02 12:57:40+00:00,2024-01-02 12:58:03+00:00,23.0,0 days 00:39:54,2394.0
25,2024-01-02 12:58:41+00:00,2024-01-02 12:59:04+00:00,23.0,0 days 00:40:55,2455.0
26,2024-01-02 12:59:42+00:00,2024-01-02 13:00:04+00:00,22.0,0 days 00:41:56,2516.0
27,2024-01-02 13:04:20+00:00,2024-01-02 13:04:50+00:00,30.0,0 days 00:46:34,2794.0
28,2024-01-02 13:05:21+00:00,2024-01-02 13:05:50+00:00,29.0,0 days 00:47:35,2855.0
29,2024-01-02 13:06:21+00:00,2024-01-02 13:06:50+00:00,29.0,0 days 00:48:35,2915.0
30,2024-01-02 13:07:22+00:00,2024-01-02 13:07:51+00:00,29.0,0 days 00:49:36,2976.0
31,2024-01-02 13:08:22+00:00,2024-01-02 13:08:51+00:00,29.0,0 days 00:50:36,3036.0
32,2024-01-02 13:09:23+00:00,2024-01-02 13:09:52+00:00,29.0,0 days 00:51:37,3097.0
33,2024-01-02 13:10:24+00:00,2024-01-02 13:10:52+00:00,28.0,0 days 00:52:38,3158.0
34,2024-01-02 13:11:24+00:00,2024-01-02 13:11:53+00:00,29.0,0 days 00:53:38,3218.0
35,2024-01-02 13:12:25+00:00,2024-01-02 13:12:34+00:00,9.0,0 days 00:54:39,3279.0
36,2024-01-02 13:22:03+00:00,2024-01-02 13:22:29+00:00,26.0,0 days 01:04:17,3857.0
37,2024-01-02 13:23:04+00:00,2024-01-02 13:23:30+00:00,26.0,0 days 01:05:18,3918.0
38,2024-01-02 13:24:04+00:00,2024-01-02 13:24:31+00:00,27.0,0 days 01:06:18,3978.0
39,2024-01-02 13:25:04+00:00,2024-01-02 13:25:31+00:00,27.0,0 days 01:07:18,4038.0
40,2024-01-02 13:26:05+00:00,2024-01-02 13:26:32+00:00,27.0,0 days 01:08:19,4099.0
