CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:46:40.130
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 117
OBJECT_ID = IRIDIUM 117

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.204024  0.314860  0.000000 0.926951
60311 43242.0 -0.206655  0.318904  0.000000 0.924983
60311 43252.0 -0.209281  0.322940  0.000000 0.922990
60311 43262.0 -0.211901  0.326967  0.000000 0.920973
60311 43272.0 -0.214516  0.330985  0.000000 0.918930
60311 43282.0 -0.217124  0.334994  0.000000 0.916862
60311 43292.0 -0.219727  0.338993  0.000000 0.914770
60311 43302.0 -0.222323  0.342983  0.000000 0.912653
60311 43312.0 -0.224914  0.346964  0.000000 0.910511
60311 43322.0 -0.227498  0.350936  0.000000 0.908344
60311 43332.0 -0.230076  0.354897  0.000000 0.906153
60311 43342.0 -0.232648  0.358849  0.000000 0.903937
60311 43352.0 -0.235214  0.362792  0.000000 0.901697
60311 43362.0 -0.237773  0.366724  0.000000 0.899432
60311 43372.0 -0.240326  0.370646  0.000000 0.897143
60311 43382.0 -0.242872  0.374558  0.000000 0.894829
60311 43392.0 -0.245411  0.378459  0.000000 0.892492
60311 43402.0 -0.247944  0.382351  0.000000 0.890130
60311 43412.0 -0.250470  0.386232  0.000000 0.887744
60311 43422.0 -0.252989  0.390102  0.000000 0.885334
60311 43432.0 -0.255502  0.393961  0.000000 0.882901
60311 43442.0 -0.258007  0.397810  0.000000 0.880443
60311 43452.0 -0.260506  0.401648  0.000000 0.877961
60311 43462.0 -0.262997  0.405474  0.000000 0.875456
60311 43472.0 -0.265481  0.409290  0.000000 0.872927
60311 43482.0 -0.267958  0.413094  0.000000 0.870374
60311 43492.0 -0.270428  0.416887  0.000000 0.867798
60311 43502.0 -0.272890  0.420669  0.000000 0.865199
60311 43512.0 -0.275345  0.424439  0.000000 0.862576
60311 43522.0 -0.277792  0.428198  0.000000 0.859929
60311 43532.0 -0.280232  0.431944  0.000000 0.857260
60311 43542.0 -0.282664  0.435679  0.000000 0.854567
60311 43552.0 -0.285088  0.439402  0.000000 0.851851
60311 43562.0 -0.287505  0.443113  0.000000 0.849112
60311 43572.0 -0.289914  0.446812  0.000000 0.846350
60311 43582.0 -0.292315  0.450498  0.000000 0.843566
60311 43592.0 -0.294708  0.454173  0.000000 0.840758
60311 43602.0 -0.297093  0.457834  0.000000 0.837928
60311 43612.0 -0.299470  0.461484  0.000000 0.835075
60311 43622.0 -0.301839  0.465120  0.000000 0.832200
60311 43632.0 -0.304199  0.468744  0.000000 0.829302
60311 43642.0 -0.306552  0.472355  0.000000 0.826382
60311 43652.0 -0.308896  0.475953  0.000000 0.823439
60311 43662.0 -0.311231  0.479538  0.000000 0.820475
60311 43672.0 -0.313559  0.483110  0.000000 0.817488
60311 43682.0 -0.315877  0.486668  0.000000 0.814479
60311 43692.0 -0.318187  0.490214  0.000000 0.811448
60311 43702.0 -0.320489  0.493746  0.000000 0.808395
60311 43712.0 -0.322781  0.497264  0.000000 0.805320
60311 43722.0 -0.325065  0.500769  0.000000 0.802224
60311 43732.0 -0.327340  0.504260  0.000000 0.799106
60311 43742.0 -0.329607  0.507737  0.000000 0.795966
60311 43752.0 -0.331864  0.511201  0.000000 0.792805
60311 43762.0 -0.334112  0.514650  0.000000 0.789623
60311 43772.0 -0.336351  0.518085  0.000000 0.786419
60311 43782.0 -0.338581  0.521506  0.000000 0.783195
60311 43792.0 -0.340802  0.524913  0.000000 0.779949
