CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:49:48.040
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 168
OBJECT_ID = IRIDIUM 168

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.182539 -0.141614  0.000000 0.972947
60311 43242.0  0.178539 -0.138489  0.000000 0.974138
60311 43252.0  0.174534 -0.135360  0.000000 0.975303
60311 43262.0  0.170525 -0.132227  0.000000 0.976441
60311 43272.0  0.166511 -0.129091  0.000000 0.977553
60311 43282.0  0.162493 -0.125951  0.000000 0.978638
60311 43292.0  0.158470 -0.122808  0.000000 0.979697
60311 43302.0  0.154443 -0.119662  0.000000 0.980728
60311 43312.0  0.150412 -0.116512  0.000000 0.981734
60311 43322.0  0.146377 -0.113360  0.000000 0.982712
60311 43332.0  0.142338 -0.110204  0.000000 0.983664
60311 43342.0  0.138294 -0.107046  0.000000 0.984589
60311 43352.0  0.134248 -0.103884  0.000000 0.985487
60311 43362.0  0.130197 -0.100720  0.000000 0.986359
60311 43372.0  0.126143 -0.097554  0.000000 0.987204
60311 43382.0  0.122086 -0.094384  0.000000 0.988022
60311 43392.0  0.118025 -0.091213  0.000000 0.988813
60311 43402.0  0.113962 -0.088038  0.000000 0.989577
60311 43412.0  0.109895 -0.084862  0.000000 0.990314
60311 43422.0  0.105825 -0.081683  0.000000 0.991024
60311 43432.0  0.101752 -0.078502  0.000000 0.991708
60311 43442.0  0.097677 -0.075319  0.000000 0.992364
60311 43452.0  0.093599 -0.072134  0.000000 0.992993
60311 43462.0  0.089519 -0.068948  0.000000 0.993596
60311 43472.0  0.085436 -0.065759  0.000000 0.994171
60311 43482.0  0.081350 -0.062569  0.000000 0.994720
60311 43492.0  0.077263 -0.059377  0.000000 0.995241
60311 43502.0  0.073174 -0.056184  0.000000 0.995735
60311 43512.0  0.069082 -0.052989  0.000000 0.996203
60311 43522.0  0.064989 -0.049792  0.000000 0.996643
60311 43532.0  0.060894 -0.046595  0.000000 0.997056
60311 43542.0  0.056798 -0.043396  0.000000 0.997442
