start,end,start_epoch,end_epoch,duration,partial,timedelta,seconds,duration_minutes
2028-11-01 00:01:50+00:00,2028-11-01 00:03:30+00:00,909921715.0,909921815.0,100.0,False,0 days 00:01:50,110.0,1.6666666666666667
2028-11-01 01:36:34+00:00,2028-11-01 01:38:34+00:00,909927399.0,909927519.0,120.0,False,0 days 01:36:34,5794.0,2.0
2028-11-01 03:11:08+00:00,2028-11-01 03:13:38+00:00,909933073.0,909933223.0,150.0,False,0 days 03:11:08,11468.0,2.5
2028-11-01 04:45:52+00:00,2028-11-01 04:48:32+00:00,909938757.0,909938917.0,160.0,False,0 days 04:45:52,17152.0,2.6666666666666665
2028-11-01 06:20:26+00:00,2028-11-01 06:23:36+00:00,909944431.0,909944621.0,190.0,False,0 days 06:20:26,22826.0,3.1666666666666665
2028-11-01 07:55:10+00:00,2028-11-01 07:58:30+00:00,909950115.0,909950315.0,200.0,False,0 days 07:55:10,28510.0,3.3333333333333335
2028-11-01 09:29:54+00:00,2028-11-01 09:33:24+00:00,909955799.0,909956009.0,210.0,False,0 days 09:29:54,34194.0,3.5
2028-11-01 11:04:38+00:00,2028-11-01 11:08:18+00:00,909961483.0,909961703.0,220.0,False,0 days 11:04:38,39878.0,3.6666666666666665
2028-11-01 12:39:22+00:00,2028-11-01 12:43:12+00:00,909967167.0,909967397.0,230.0,False,0 days 12:39:22,45562.0,3.8333333333333335
2028-11-01 14:14:06+00:00,2028-11-01 14:18:06+00:00,909972851.0,909973091.0,240.0,False,0 days 14:14:06,51246.0,4.0
2028-11-01 15:48:50+00:00,2028-11-01 15:53:00+00:00,909978535.0,909978785.0,250.0,False,0 days 15:48:50,56930.0,4.166666666666667
2028-11-01 17:23:34+00:00,2028-11-01 17:28:04+00:00,909984219.0,909984489.0,270.0,False,0 days 17:23:34,62614.0,4.5
2028-11-01 18:58:18+00:00,2028-11-01 19:02:58+00:00,909989903.0,909990183.0,280.0,False,0 days 18:58:18,68298.0,4.666666666666667
2028-11-01 20:33:12+00:00,2028-11-01 20:37:52+00:00,909995597.0,909995877.0,280.0,False,0 days 20:33:12,73992.0,4.666666666666667
2028-11-01 22:07:56+00:00,2028-11-01 22:12:46+00:00,910001281.0,910001571.0,290.0,False,0 days 22:07:56,79676.0,4.833333333333333
2028-11-01 23:42:40+00:00,2028-11-01 23:47:30+00:00,910006965.0,910007255.0,290.0,False,0 days 23:42:40,85360.0,4.833333333333333
