CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:53.029
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT1
OBJECT_ID = SAT1

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0 -0.131321  0.694806  0.000000 0.707107
60311 43242.0 -0.129613  0.691168  0.000000 0.710977
60311 43252.0 -0.127912  0.687506  0.000000 0.714825
60311 43262.0 -0.126217  0.683820  0.000000 0.718651
60311 43272.0 -0.124529  0.680110  0.000000 0.722456
60311 43282.0 -0.122847  0.676377  0.000000 0.726239
60311 43292.0 -0.121171  0.672620  0.000000 0.730000
60311 43302.0 -0.119501  0.668841  0.000000 0.733738
60311 43312.0 -0.117837  0.665038  0.000000 0.737454
60311 43322.0 -0.116179  0.661212  0.000000 0.741148
60311 43332.0 -0.114527  0.657364  0.000000 0.744820
60311 43342.0 -0.112881  0.653493  0.000000 0.748468
60311 43352.0 -0.111240  0.649600  0.000000 0.752094
60311 43362.0 -0.109605  0.645685  0.000000 0.755697
60311 43372.0 -0.107975  0.641747  0.000000 0.759277
60311 43382.0 -0.106351  0.637788  0.000000 0.762834
60311 43392.0 -0.104732  0.633807  0.000000 0.766368
60311 43402.0 -0.103118  0.629805  0.000000 0.769878
60311 43412.0 -0.101509  0.625781  0.000000 0.773365
60311 43422.0 -0.099906  0.621736  0.000000 0.776829
60311 43432.0 -0.098308  0.617670  0.000000 0.780269
60311 43442.0 -0.096715  0.613584  0.000000 0.783685
60311 43452.0 -0.095126  0.609476  0.000000 0.787077
60311 43462.0 -0.093543  0.605348  0.000000 0.790445
60311 43472.0 -0.091965  0.601199  0.000000 0.793789
60311 43482.0 -0.090391  0.597031  0.000000 0.797110
60311 43492.0 -0.088822  0.592842  0.000000 0.800406
60311 43502.0 -0.087258  0.588633  0.000000 0.803677
60311 43512.0 -0.085699  0.584405  0.000000 0.806924
60311 43522.0 -0.084144  0.580157  0.000000 0.810147
60311 43532.0 -0.082594  0.575890  0.000000 0.813345
60311 43542.0 -0.081048  0.571603  0.000000 0.816518
60311 43552.0 -0.079507  0.567297  0.000000 0.819666
60311 43562.0 -0.077971  0.562973  0.000000 0.822789
60311 43572.0 -0.076439  0.558629  0.000000 0.825888
60311 43582.0 -0.074912  0.554267  0.000000 0.828961
60311 43592.0 -0.073389  0.549887  0.000000 0.832009
60311 43602.0 -0.071870  0.545488  0.000000 0.835032
60311 43612.0 -0.070356  0.541071  0.000000 0.838029
60311 43622.0 -0.068846  0.536636  0.000000 0.841001
60311 43632.0 -0.067340  0.532183  0.000000 0.843947
60311 43642.0 -0.065839  0.527712  0.000000 0.846868
60311 43652.0 -0.064342  0.523224  0.000000 0.849762
60311 43662.0 -0.062849  0.518719  0.000000 0.852631
60311 43672.0 -0.061361  0.514197  0.000000 0.855475
60311 43682.0 -0.059877  0.509657  0.000000 0.858292
60311 43692.0 -0.058397  0.505101  0.000000 0.861083
60311 43702.0 -0.056921  0.500527  0.000000 0.863847
60311 43712.0 -0.055450  0.495938  0.000000 0.866586
60311 43722.0 -0.053982  0.491332  0.000000 0.869298
60311 43732.0 -0.052519  0.486709  0.000000 0.871984
60311 43742.0 -0.051060  0.482071  0.000000 0.874643
60311 43752.0 -0.049606  0.477416  0.000000 0.877276
60311 43762.0 -0.048155  0.472746  0.000000 0.879882
60311 43772.0 -0.046709  0.468061  0.000000 0.882461
60311 43782.0 -0.045266  0.463359  0.000000 0.885014
60311 43792.0 -0.043828  0.458643  0.000000 0.887539
60311 43802.0 -0.042394  0.453911  0.000000 0.890038
60311 43812.0 -0.040965  0.449165  0.000000 0.892509
60311 43822.0 -0.039539  0.444403  0.000000 0.894954
60311 43832.0 -0.038117  0.439627  0.000000 0.897371
60311 43842.0 -0.036700  0.434837  0.000000 0.899761
60311 43852.0 -0.035287  0.430032  0.000000 0.902124
60311 43862.0 -0.033878  0.425213  0.000000 0.904459
60311 43872.0 -0.032473  0.420380  0.000000 0.906767
60311 43882.0 -0.031072  0.415533  0.000000 0.909047
60311 43892.0 -0.029675  0.410672  0.000000 0.911300
60311 43902.0 -0.028283  0.405798  0.000000 0.913525
60311 43912.0 -0.026895  0.400911  0.000000 0.915722
60311 43922.0 -0.025510  0.396010  0.000000 0.917892
60311 43932.0 -0.024130  0.391096  0.000000 0.920033
60311 43942.0 -0.022755  0.386169  0.000000 0.922147
60311 43952.0 -0.021383  0.381230  0.000000 0.924233
60311 43962.0 -0.020016  0.376278  0.000000 0.926291
60311 43972.0 -0.018653  0.371314  0.000000 0.928320
60311 43982.0 -0.017294  0.366337  0.000000 0.930322
60311 43992.0 -0.015939  0.361348  0.000000 0.932295
60311 44002.0 -0.014589  0.356347  0.000000 0.934240
60311 44012.0 -0.013242  0.351335  0.000000 0.936156
60311 44022.0 -0.011901  0.346311  0.000000 0.938044
60311 44032.0 -0.010563  0.341275  0.000000 0.939904
60311 44042.0 -0.009230  0.336228  0.000000 0.941735
60311 44052.0 -0.007901  0.331170  0.000000 0.943538
60311 44062.0 -0.006576  0.326101  0.000000 0.945312
60311 44072.0 -0.005256  0.321021  0.000000 0.947057
60311 44082.0 -0.003939  0.315931  0.000000 0.948774
60311 44092.0 -0.002628  0.310830  0.000000 0.950462
60311 44102.0 -0.001321  0.305719  0.000000 0.952121
