CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 43242.0  0.064433  0.006557 -0.000000 0.997901
60311 43252.0  0.065450  0.001128 -0.000000 0.997855
60311 43262.0  0.066461 -0.004302  0.000000 0.997780
60311 43272.0  0.067466 -0.009732  0.000000 0.997674
60311 43282.0  0.068466 -0.015163  0.000000 0.997538
60311 43292.0  0.069460 -0.020594  0.000000 0.997372
60311 43302.0  0.070447 -0.026025  0.000000 0.997176
60311 43312.0  0.071429 -0.031455  0.000000 0.996950
60311 43322.0  0.072404 -0.036886  0.000000 0.996693
60311 43332.0  0.073374 -0.042316  0.000000 0.996406
60311 43342.0  0.074338 -0.047746  0.000000 0.996089
60311 43352.0  0.075295 -0.053175  0.000000 0.995742
60311 43362.0  0.076246 -0.058603  0.000000 0.995365
60311 43372.0  0.077191 -0.064030  0.000000 0.994958
60311 43382.0  0.078130 -0.069456  0.000000 0.994521
60311 43392.0  0.079062 -0.074881  0.000000 0.994053
60311 43402.0  0.079989 -0.080303  0.000000 0.993556
60311 43412.0  0.080909 -0.085724  0.000000 0.993028
60311 43422.0  0.081822 -0.091144  0.000000 0.992471
60311 43432.0  0.082729 -0.096561  0.000000 0.991883
60311 43442.0  0.083630 -0.101976  0.000000 0.991265
60311 43452.0  0.084524 -0.107388  0.000000 0.990618
60311 43462.0  0.085412 -0.112798  0.000000 0.989940
60311 43472.0  0.086293 -0.118206  0.000000 0.989232
60311 43482.0  0.087168 -0.123610  0.000000 0.988495
60311 43492.0  0.088036 -0.129012  0.000000 0.987728
60311 43502.0  0.088897 -0.134410  0.000000 0.986930
60311 43512.0  0.089752 -0.139805  0.000000 0.986103
60311 43522.0  0.090600 -0.145196  0.000000 0.985246
60311 43532.0  0.091441 -0.150583  0.000000 0.984359
60311 43542.0  0.092276 -0.155967  0.000000 0.983443
60311 43552.0  0.093103 -0.161347  0.000000 0.982496
60311 43562.0  0.093924 -0.166722  0.000000 0.981520
